time, value
3545, 1845
3547, 1847
3549, 1844
3551, 1845
3553, 1845
3555, 1846
3557, 1845
3559, 1846
3561, 1844
3563, 1845
3565, 1845
3567, 1846
3569, 1847
3571, 1846
3573, 1847
3575, 1845
3577, 1847
3579, 1846
3581, 1847
3583, 1847
3585, 1845
3587, 1845
3589, 1846
3591, 1845
3593, 1844
3595, 1845
3597, 1846
3599, 1846
3601, 1844
3603, 1845
3605, 1847
3607, 1845
3609, 1846
3611, 1845
3613, 1845
3615, 1846
3617, 1845
3619, 1845
3621, 1846
3623, 1843
3625, 1847
3627, 1846
3629, 1845
3631, 1846
3633, 1846
3635, 1845
3637, 1846
3639, 1846
3641, 1844
3643, 1844
3645, 1845
3647, 1843
3649, 1845
3651, 1846
3653, 1845
3655, 1845
3657, 1845
3659, 1846
3661, 1845
3663, 1846
3665, 1845
3667, 1845
3669, 1846
3671, 1845
3673, 1847
3675, 1846
3677, 1847
3679, 1845
3681, 1845
3683, 1843
3685, 1845
3687, 1843
3689, 1844
3691, 1846
3693, 1845
3695, 1845
3697, 1846
3699, 1845
3701, 1846
3703, 1846
3705, 1846
3707, 1846
3709, 1844
3711, 1843
3713, 1845
3715, 1845
3717, 1847
3719, 1844
3721, 1845
3723, 1844
3725, 1847
3727, 1845
3729, 1847
3731, 1845
3733, 1846
3735, 1846
3737, 1845
3739, 1846
3741, 1845
3743, 1845
3745, 1845
3747, 1845
3749, 1847
3751, 1846
3753, 1846
3755, 1845
3757, 1844
3759, 1847
3761, 1844
3763, 1849
3765, 1847
3767, 1846
3769, 1845
3771, 1843
3773, 1844
3775, 1842
3777, 1847
3779, 1847
3781, 1845
3783, 1845
3785, 1844
3787, 1845
3789, 1847
3791, 1845
3793, 1846
3795, 1844
3797, 1844
3799, 1846
3801, 1845
3803, 1845
3805, 1846
3807, 1846
3809, 1844
3811, 1846
3813, 1846
3815, 1846
3817, 1845
3819, 1845
3821, 1843
3823, 1845
3825, 1843
3827, 1843
3829, 1847
3831, 1845
3833, 1843
3835, 1845
3837, 1845
3839, 1845
3841, 1845
3843, 1844
3845, 1845
3847, 1847
3849, 1845
3851, 1843
3853, 1843
3855, 1843
3857, 1846
3859, 1844
3861, 1845
3863, 1845
3865, 1845
3867, 1844
3869, 1845
3871, 1846
3873, 1845
3875, 1843
3877, 1846
3879, 1845
3881, 1845
3883, 1843
3885, 1846
3887, 1844
3889, 1844
3891, 1844
3893, 1844
3895, 1845
3897, 1846
3899, 1842
3901, 1843
3903, 1843
3905, 1846
3907, 1843
3909, 1845
3911, 1846
3913, 1845
3915, 1845
3917, 1846
3919, 1845
3921, 1846
3923, 1845
3925, 1846
3927, 1844
3929, 1845
3931, 1846
3933, 1846
3935, 1845
3937, 1844
3939, 1845
3941, 1846
3943, 1843
3945, 1845
3947, 1845
3949, 1845
3951, 1845
3953, 1845
3955, 1845
3957, 1845
3959, 1846
3961, 1846
3963, 1845
3965, 1847
3967, 1845
3969, 1845
3971, 1844
3973, 1846
3975, 1847
3977, 1845
3979, 1846
3981, 1843
3983, 1847
3985, 1845
3987, 1845
3989, 1845
3991, 1845
3993, 1843
3995, 1846
3997, 1844
3999, 1843
4001, 1844
4003, 1845
4005, 1846
4007, 1847
4009, 1846
4011, 1846
4013, 1846
4015, 1846
4017, 1846
4019, 1845
4021, 1846
4023, 1843
4025, 1846
4027, 1845
4029, 1845
4031, 1846
4033, 1843
4035, 1846
4037, 1844
4039, 1845
4041, 1845
4043, 1843
4045, 1845
4047, 1847
4049, 1847
4051, 1843
4053, 1845
4055, 1843
4057, 1845
4059, 1845
4061, 1846
4063, 1846
4065, 1846
4067, 1845
4069, 1845
4071, 1845
4073, 1847
4075, 1845
4077, 1849
4079, 1845
4081, 1846
4083, 1846
4085, 1845
4087, 1845
4089, 1846
4091, 1845
4093, 1846
4095, 1845
4097, 1846
4099, 1843
4101, 1845
4103, 1847
4105, 1846
4107, 1845
4109, 1846
4111, 1845
4113, 1845
4115, 1843
4117, 1845
4119, 1845
4121, 1847
4123, 1843
4125, 1845
4127, 1845
4129, 1846
4131, 1846
4133, 1842
4135, 1846
4137, 1847
4139, 1847
4141, 1844
4143, 1847
4145, 1845
